City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Juneau,US,73.4,scattered clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
476,Santa Isabel,BR,66.2,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
477,Kindu,CD,70.72,overcast clouds,-2.95,25.95,Hotel Karibu
480,Ubinskoye,RU,59.32,clear sky,55.31,79.68,Gostinitsa Siberia
482,Caala,AO,58.32,overcast clouds,-12.85,15.56,Cáala Hotel
484,Luanda,AO,80.6,scattered clouds,-8.84,13.23,EPIC SANA Luanda
485,Chiredzi,ZW,57.33,clear sky,-21.05,31.67,The Nesbitt Arms
486,Bilma,NE,83.52,clear sky,18.69,12.92,Expeditions Ténére voyages
487,Nsanje,MW,64.33,overcast clouds,-16.92,35.26,Nsanje Discovery Lodge
490,Awbari,LY,84.27,few clouds,26.59,12.78,فندق أوباري
