City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (1hr),Snow (1hr)
122,Berlevag,NO,2020-05-11 00:15:16,70.86,29.09,35.13,85,99,17.38,light snow,0.0,0.16
123,Yeppoon,AU,2020-05-11 00:15:16,-23.13,150.73,69.8,28,17,12.75,few clouds,0.0,0.0
124,Mgandu,TZ,2020-05-11 00:15:16,-5.95,34.13,59.76,91,74,7.14,broken clouds,0.0,0.0
125,Salinopolis,BR,2020-05-11 00:15:16,-0.61,-47.36,80.19,84,6,10.6,light rain,0.15,0.0
126,Upernavik,GL,2020-05-11 00:15:16,72.79,-56.15,15.69,86,7,11.97,clear sky,0.0,0.0
127,Constitucion,CL,2020-05-11 00:15:16,-35.33,-72.42,54.45,80,4,8.7,clear sky,0.0,0.0
128,Vila Franca Do Campo,PT,2020-05-11 00:15:17,37.72,-25.43,59.0,67,20,9.17,few clouds,0.0,0.0
129,Avarua,CK,2020-05-11 00:15:17,-21.21,-159.78,80.6,78,99,16.11,overcast clouds,0.0,0.0
130,Cabedelo,BR,2020-05-11 00:15:17,-6.98,-34.83,77.0,94,20,5.82,few clouds,0.0,0.0
131,Ouargaye,BF,2020-05-11 00:15:17,11.5,0.06,92.71,36,82,11.97,broken clouds,0.0,0.0
132,Kholtoson,RU,2020-05-11 00:15:17,50.3,103.31,50.36,48,83,4.43,broken clouds,0.0,0.0
133,De Aar,ZA,2020-05-11 00:15:17,-30.65,24.01,55.09,39,0,3.15,clear sky,0.0,0.0
134,Sevojno,RS,2020-05-11 00:15:17,43.84,19.9,59.0,41,68,3.36,broken clouds,0.0,0.0
135,Hervey Bay,AU,2020-05-11 00:15:17,-25.3,152.85,69.01,67,24,11.01,light rain,0.12,0.0
136,Mahebourg,MU,2020-05-11 00:15:17,-20.41,57.7,71.6,56,40,9.17,scattered clouds,0.0,0.0
137,Tuktoyaktuk,CA,2020-05-11 00:15:17,69.45,-133.04,37.4,99,75,8.05,broken clouds,0.0,0.0
138,Jakar,BT,2020-05-11 00:15:18,27.55,90.75,45.7,65,5,3.27,clear sky,0.0,0.0
139,Raga,SS,2020-05-11 00:15:18,8.46,25.68,77.13,69,100,6.11,overcast clouds,0.0,0.0
140,Vilhena,BR,2020-05-11 00:15:18,-12.74,-60.15,70.92,90,41,0.51,scattered clouds,0.0,0.0
141,Lebedinyy,RU,2020-05-11 00:15:18,58.52,125.52,31.59,91,100,9.31,overcast clouds,0.0,0.0
142,Lavrentiya,RU,2020-05-11 00:15:18,65.58,-171.0,36.7,90,98,5.77,overcast clouds,0.0,0.0
143,Bartica,GY,2020-05-11 00:15:18,6.4,-58.62,77.0,94,75,6.93,broken clouds,0.0,0.0
144,Hasaki,JP,2020-05-11 00:15:18,35.73,140.83,71.6,100,75,10.29,mist,0.0,0.0
145,Butaritari,KI,2020-05-11 00:15:18,3.07,172.79,83.66,76,13,8.52,few clouds,0.0,0.0
146,Pontianak,ID,2020-05-11 00:12:49,-0.03,109.33,78.8,88,75,4.7,thunderstorm,0.0,0.0
147,Klaksvik,FO,2020-05-11 00:15:18,62.23,-6.59,30.2,68,46,3.36,scattered clouds,0.0,0.0
148,Aleksandrov Gay,RU,2020-05-11 00:15:19,50.15,48.57,49.59,75,29,8.52,scattered clouds,0.0,0.0
149,Cayenne,GF,2020-05-11 00:15:06,4.93,-52.33,75.2,100,75,12.21,broken clouds,0.0,0.0
150,Ponta Do Sol,PT,2020-05-11 00:15:19,32.67,-17.1,64.4,72,20,2.24,few clouds,0.0,0.0
151,Praya,CV,2020-05-11 00:15:19,14.92,-23.51,71.6,78,20,17.22,few clouds,0.0,0.0
152,Kayanza,BI,2020-05-11 00:15:19,-3.07,29.67,56.57,96,92,0.49,overcast clouds,0.0,0.0
153,Pasni,PK,2020-05-11 00:15:19,25.26,63.47,81.57,74,15,9.17,few clouds,0.0,0.0
154,Troitsko-Pechorsk,RU,2020-05-11 00:15:19,62.71,56.2,48.94,93,100,4.36,light rain,0.17,0.0
155,Asau,RO,2020-05-11 00:15:19,46.43,26.4,55.0,67,98,4.99,overcast clouds,0.0,0.0
156,Alice Springs,AU,2020-05-11 00:11:45,-23.7,133.88,53.6,37,75,11.41,broken clouds,0.0,0.0
157,Saint-Philippe,RE,2020-05-11 00:15:19,-21.36,55.77,69.8,77,75,8.05,broken clouds,0.0,0.0
158,Victoria,HK,2020-05-11 00:14:57,22.29,114.16,84.0,66,61,4.0,broken clouds,0.0,0.0
159,Marathon,US,2020-05-11 00:15:19,44.9,-89.77,39.99,51,90,8.05,overcast clouds,0.0,0.0
160,Biloela,AU,2020-05-11 00:15:20,-24.42,150.5,65.64,30,85,16.15,overcast clouds,0.0,0.0
161,Hilo,US,2020-05-11 00:14:06,19.73,-155.09,82.4,58,75,10.29,broken clouds,0.0,0.0
162,Nouadhibou,MR,2020-05-11 00:15:20,20.93,-17.03,67.26,78,91,23.29,overcast clouds,0.0,0.0
163,Pitkyaranta,RU,2020-05-11 00:15:20,61.57,31.48,39.99,69,75,12.62,broken clouds,0.0,0.0
